,Name,Year,Rating,Votes
139,Shaun of the Dead,2004,7.9,452559.0
140,The Blind Side,2009,7.7,257249.0
141,The Fast and the Furious: Tokyo Drift,2006,6.0,210679.0
142,Idiocracy,2006,6.6,127008.0
143,The Fast and the Furious,2001,6.8,310169.0
144,Inside Man,2006,7.6,304772.0
145,Kingdom of Heaven,2005,7.2,243657.0
146,Scary Movie,2000,6.2,208682.0
147,The Illusionist,2006,7.6,330144.0
148,Tropic Thunder,2008,7.0,342707.0
149,Gran Torino,2008,8.1,648605.0
150,Public Enemies,2009,7.0,254769.0
151,Children of Men,2006,7.9,412107.0
152,The Punisher,2004,6.5,138688.0
153,Wedding Crashers,2005,7.0,306444.0
154,Gangs of New York,2002,7.5,359678.0
155,Drag Me to Hell,2009,6.6,173008.0
156,The Curious Case of Benjamin Button,2008,7.8,521568.0
157,The Village,2004,6.5,218998.0
158,Apocalypto,2006,7.8,263880.0
159,Zack and Miri Make a Porno,2008,6.6,161839.0
160,Identity,2003,7.3,202894.0
161,The Reader,2008,7.6,212228.0
162,The Devil's Rejects,2005,6.9,83968.0
163,Doom,2005,5.2,96886.0
164,Million Dollar Baby,2004,8.1,566588.0
165,Revolutionary Road,2008,7.3,171899.0
166,Forgetting Sarah Marshall,2008,7.2,241494.0
167,The 40 Year Old Virgin,2005,7.1,350945.0
168,The Last House on the Left,2009,6.6,77053.0
169,House of 1000 Corpses,2003,6.1,67410.0
170,I Am Legend,2007,7.2,612749.0
171,Hostel,2005,5.9,154574.0
172,Ocean's Thirteen,2007,6.9,289104.0
173,Rambo,2008,7.0,196653.0
174,EuroTrip,2004,6.6,178604.0
175,The Proposal,2009,6.7,261878.0
176,Closer,2004,7.3,185509.0
177,AVPR: Aliens vs Predator - Requiem,2007,4.7,105591.0
178,Der Untergang,2004,8.2,293320.0
179,Daredevil,2003,5.3,193096.0
180,Training Day,2001,7.7,345287.0
181,A Walk to Remember,2002,7.4,182983.0
182,The Strangers,2008,6.2,106967.0
183,WALL·E,2008,8.4,865818.0
184,American Gangster,2007,7.8,356642.0
185,A Knight's Tale,2001,6.9,152962.0
186,Underworld,2003,7.0,233718.0
187,Dawn of the Dead,2004,7.3,215119.0
188,Black Dynamite,2009,7.4,41257.0
189,Burn After Reading,2008,7.0,277801.0
190,The Amityville Horror,2005,6.0,96176.0
191,Amélie,2001,8.3,628507.0
192,Click,2006,6.4,275408.0
193,Hollow Man,2000,5.7,112161.0
194,Corpse Bride,2005,7.4,216317.0
195,Moon,2009,7.9,301887.0
196,Orphan,2009,7.0,169473.0
197,Year One,2009,4.9,83546.0
198,Crash,2004,7.8,392897.0
